feature,importance,mutual_info
font_size_ratio,0.2843463355783954,0.9671747001762079
relative_y,0.1570189945146173,0.7541989257750432
relative_x,0.13619120802060836,0.6901834656285626
page_num,0.11066564361369126,0.1325638329337866
font_emphasis,0.07084956980261005,0.1346428535616464
is_left_aligned,0.0506972905106183,0.6129798171396725
is_above_avg_font,0.04456052283621691,0.7270001250303271
formatting_score,0.030457475349236138,0.1897990219076462
char_count,0.024296486622861022,0.0
starts_with_number,0.02407790251332568,0.006255348608055655
is_top_third,0.02235091800815997,0.20966262416247883
is_bold,0.014253971172707018,0.13359439468380097
has_numbers,0.012052796195628341,0.1253788259557933
word_count,0.009026389627625291,0.0
is_long_text,0.004761973338923305,0.0
is_title_case,0.0028580282856712973,0.5247378588445113
is_medium_text,0.0015344940091042314,0.0
is_superscript,0.0,0.01562310118206467
is_all_caps,0.0,0.0
is_italic,0.0,0.13086075541837627
is_short_text,0.0,0.0
